methods,path,module,endpoint,tags,auth_type,minimum_role,required_features_strict,required_features_dependency,feature_refs_conditional_or_internal,eligible_tiers_for_strict_features,helper_gate_signals,pricing_tier_refs_in_handler,user_role_refs_in_handler,turnstile_surfaces,dependency_calls,source_location
GET,/api/v1/audit/compliance-pack,app.modules.governance.api.v1.audit_compliance,export_compliance_pack,"Audit,Audit",jwt_db,owner,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_compliance.py:19-154
DELETE,/api/v1/audit/data-erasure-request,app.modules.governance.api.v1.audit_access,request_data_erasure,"Audit,Audit",jwt_db,owner,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_access.py:234-446
GET,/api/v1/audit/event-types,app.modules.governance.api.v1.audit_access,get_event_types,"Audit,Audit",jwt_db,admin,audit_logs,audit_logs,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_access.py:131-141
GET,/api/v1/audit/export,app.modules.governance.api.v1.audit_access,export_audit_logs,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_access.py:144-231
GET,/api/v1/audit/identity/idp-smoke/evidence,app.modules.governance.api.v1.audit_evidence,list_identity_idp_smoke_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:494-555
POST,/api/v1/audit/identity/idp-smoke/evidence,app.modules.governance.api.v1.audit_evidence,capture_identity_idp_smoke_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:436-491
GET,/api/v1/audit/identity/sso-federation/evidence,app.modules.governance.api.v1.audit_evidence,list_sso_federation_validation_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:616-680
POST,/api/v1/audit/identity/sso-federation/evidence,app.modules.governance.api.v1.audit_evidence,capture_sso_federation_validation_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:558-613
GET,/api/v1/audit/jobs/slo/evidence,app.modules.governance.api.v1.audit_evidence,list_job_slo_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:755-813
POST,/api/v1/audit/jobs/slo/evidence,app.modules.governance.api.v1.audit_evidence,capture_job_slo_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:683-752
GET,/api/v1/audit/logs,app.modules.governance.api.v1.audit_access,get_audit_logs,"Audit,Audit",jwt_db,admin,audit_logs,audit_logs,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_access.py:21-83
GET,/api/v1/audit/logs/{log_id},app.modules.governance.api.v1.audit_access,get_audit_log_detail,"Audit,Audit",jwt_db,admin,audit_logs,audit_logs,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_access.py:86-128
GET,/api/v1/audit/performance/ingestion/persistence/evidence,app.modules.governance.api.v1.audit_evidence,list_ingestion_persistence_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:237-303
POST,/api/v1/audit/performance/ingestion/persistence/evidence,app.modules.governance.api.v1.audit_evidence,capture_ingestion_persistence_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:177-234
GET,/api/v1/audit/performance/ingestion/soak/evidence,app.modules.governance.api.v1.audit_evidence,list_ingestion_soak_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:369-433
POST,/api/v1/audit/performance/ingestion/soak/evidence,app.modules.governance.api.v1.audit_evidence,capture_ingestion_soak_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:306-366
GET,/api/v1/audit/performance/load-test/evidence,app.modules.governance.api.v1.audit_evidence,list_load_test_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:110-174
POST,/api/v1/audit/performance/load-test/evidence,app.modules.governance.api.v1.audit_evidence,capture_load_test_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:53-107
GET,/api/v1/audit/performance/partitioning/evidence,app.modules.governance.api.v1.audit_partitioning,list_partitioning_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_partitioning.py:240-306
POST,/api/v1/audit/performance/partitioning/evidence,app.modules.governance.api.v1.audit_partitioning,capture_partitioning_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_partitioning.py:180-237
GET,/api/v1/audit/tenancy/isolation/evidence,app.modules.governance.api.v1.audit_evidence,list_tenant_isolation_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:873-936
POST,/api/v1/audit/tenancy/isolation/evidence,app.modules.governance.api.v1.audit_evidence,capture_tenant_isolation_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:816-870
POST,/api/v1/billing/admin/plans/{plan_id},app.modules.billing.api.v1.billing,update_pricing_plan,Billing,jwt_db,admin,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/billing/api/v1/billing.py:385-401
GET,/api/v1/billing/admin/rates,app.modules.billing.api.v1.billing,get_exchange_rate,Billing,jwt_db,admin,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/billing/api/v1/billing.py:376-382
POST,/api/v1/billing/admin/rates,app.modules.billing.api.v1.billing,update_exchange_rate,Billing,jwt_db,admin,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/billing/api/v1/billing.py:362-373
POST,/api/v1/billing/cancel,app.modules.billing.api.v1.billing,cancel_subscription,Billing,jwt_db,admin,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/billing/api/v1/billing.py:308-330
POST,/api/v1/billing/checkout,app.modules.billing.api.v1.billing,create_checkout,Billing,jwt_db,member,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/billing/api/v1/billing.py:254-305
GET,/api/v1/billing/features,app.modules.billing.api.v1.billing,get_features,Billing,jwt_db,member,,,,free|starter|growth|pro|enterprise,,free,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/billing/api/v1/billing.py:190-220
GET,/api/v1/billing/plans,app.modules.billing.api.v1.billing,get_public_plans,Billing,public,public,,,,free|starter|growth|pro|enterprise,,,,,app.shared.db.session::get_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/billing/api/v1/billing.py:140-150
GET,/api/v1/billing/subscription,app.modules.billing.api.v1.billing,get_subscription,Billing,jwt_db,member,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/billing/api/v1/billing.py:153-187
GET,/api/v1/billing/usage,app.modules.billing.api.v1.billing,get_billing_usage,Billing,jwt_db,member,,,,free|starter|growth|pro|enterprise,,free,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/billing/api/v1/billing.py:223-251
POST,/api/v1/billing/webhook,app.modules.billing.api.v1.billing,handle_webhook,Billing,public,public,,,,free|starter|growth|pro|enterprise,,,,,app.shared.db.session::get_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/billing/api/v1/billing.py:333-356
GET,/api/v1/carbon,app.modules.reporting.api.v1.carbon,get_carbon_footprint,GreenOps & Carbon,jwt_db,member,greenops,greenops,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:241-284
GET,/api/v1/carbon/budget,app.modules.reporting.api.v1.carbon,get_carbon_budget,GreenOps & Carbon,jwt_db,member,greenops,greenops,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:287-356
GET,/api/v1/carbon/factors,app.modules.reporting.api.v1.carbon,list_carbon_factor_sets,GreenOps & Carbon,jwt_db,admin,carbon_assurance,carbon_assurance,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:483-504
POST,/api/v1/carbon/factors,app.modules.reporting.api.v1.carbon,stage_carbon_factor_set,GreenOps & Carbon,jwt_db,admin,carbon_assurance,carbon_assurance,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:531-547
GET,/api/v1/carbon/factors/active,app.modules.reporting.api.v1.carbon,get_active_carbon_factor_set,GreenOps & Carbon,jwt_db,admin,carbon_assurance,carbon_assurance,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:470-480
POST,/api/v1/carbon/factors/auto-activate,app.modules.reporting.api.v1.carbon,auto_activate_latest_carbon_factors,GreenOps & Carbon,jwt_db,admin,carbon_assurance,carbon_assurance,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:575-586
GET,/api/v1/carbon/factors/updates,app.modules.reporting.api.v1.carbon,list_carbon_factor_update_logs,GreenOps & Carbon,jwt_db,admin,carbon_assurance,carbon_assurance,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:507-528
POST,/api/v1/carbon/factors/{factor_set_id}/activate,app.modules.reporting.api.v1.carbon,activate_carbon_factor_set,GreenOps & Carbon,jwt_db,admin,carbon_assurance,carbon_assurance,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:550-572
GET,/api/v1/carbon/graviton,app.modules.reporting.api.v1.carbon,analyze_graviton_opportunities,GreenOps & Carbon,jwt_db,member,greenops,greenops,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:359-389
GET,/api/v1/carbon/intensity,app.modules.reporting.api.v1.carbon,get_carbon_intensity_forecast,GreenOps & Carbon,jwt_db,member,greenops,greenops,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:392-428
GET,/api/v1/carbon/schedule,app.modules.reporting.api.v1.carbon,get_green_schedule,GreenOps & Carbon,jwt_db,member,greenops,greenops,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/carbon.py:431-467
GET,/api/v1/costs,app.modules.reporting.api.v1.costs,get_costs,Costs,jwt_db,member,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:234-279
GET,/api/v1/costs/acceptance/kpis,app.modules.reporting.api.v1.costs,get_acceptance_kpis,Costs,jwt_db,member,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:1079-1116
POST,/api/v1/costs/acceptance/kpis/capture,app.modules.reporting.api.v1.costs,capture_acceptance_kpis,Costs,jwt_db,admin,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:1119-1191
GET,/api/v1/costs/acceptance/kpis/evidence,app.modules.reporting.api.v1.costs,list_acceptance_kpi_evidence,Costs,jwt_db,admin,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:1194-1248
POST,/api/v1/costs/analyze,app.modules.reporting.api.v1.costs,analyze_costs,Costs,jwt_db,member,llm_analysis,llm_analysis,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:484-526
GET,/api/v1/costs/anomalies,app.modules.reporting.api.v1.costs,get_cost_anomalies,Costs,jwt_db,member,anomaly_detection,anomaly_detection,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:431-481
GET,/api/v1/costs/attribution/coverage,app.modules.reporting.api.v1.costs,get_cost_attribution_coverage,Costs,jwt_db,member,chargeback,chargeback,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:326-347
GET,/api/v1/costs/attribution/summary,app.modules.reporting.api.v1.costs,get_cost_attribution_summary,Costs,jwt_db,member,chargeback,chargeback,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:299-323
GET,/api/v1/costs/breakdown,app.modules.reporting.api.v1.costs,get_cost_breakdown,Costs,jwt_db,member,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:282-296
GET,/api/v1/costs/canonical/quality,app.modules.reporting.api.v1.costs,get_canonical_quality,Costs,jwt_db,member,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:350-400
GET,/api/v1/costs/export/focus,app.modules.reporting.api.v1.costs,export_focus_v13_costs_csv,Costs,jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:1670-1740
GET,/api/v1/costs/forecast,app.modules.reporting.api.v1.costs,get_cost_forecast,Costs,jwt_db,member,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:403-428
POST,/api/v1/costs/ingest,app.modules.reporting.api.v1.costs,trigger_ingest,Costs,jwt_db,admin,,,ingestion_backfill,free|starter|growth|pro|enterprise,is_feature_enabled,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:529-572
GET,/api/v1/costs/ingestion/sla,app.modules.reporting.api.v1.costs,get_ingestion_sla,Costs,jwt_db,member,ingestion_sla,ingestion_sla,,starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:575-591
GET,/api/v1/costs/reconciliation/close-package,app.modules.reporting.api.v1.costs,get_reconciliation_close_package,Costs,jwt_db,member,close_workflow,close_workflow,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:1350-1391
GET,/api/v1/costs/reconciliation/invoices,app.modules.reporting.api.v1.costs,list_provider_invoices,Costs,jwt_db,member,close_workflow,close_workflow,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:1487-1521
POST,/api/v1/costs/reconciliation/invoices,app.modules.reporting.api.v1.costs,upsert_provider_invoice,Costs,jwt_db,admin,close_workflow,close_workflow,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:1524-1593
DELETE,/api/v1/costs/reconciliation/invoices/{invoice_id},app.modules.reporting.api.v1.costs,delete_provider_invoice,Costs,jwt_db,admin,close_workflow,close_workflow,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/costs.py:1640-1667
