methods,path,module,endpoint,tags,auth_type,minimum_role,required_features_strict,required_features_dependency,feature_refs_conditional_or_internal,eligible_tiers_for_strict_features,helper_gate_signals,pricing_tier_refs_in_handler,user_role_refs_in_handler,turnstile_surfaces,dependency_calls,source_location
GET,/api/v1/zombies,app.modules.optimization.api.v1.zombies,scan_zombies,Cloud Hygiene (Zombies),jwt_db,member,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::require_tenant_access|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/optimization/api/v1/zombies.py:194-240
POST,/api/v1/zombies/approve/{request_id},app.modules.optimization.api.v1.zombies,approve_remediation,Cloud Hygiene (Zombies),jwt_db,member,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::require_tenant_access|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/optimization/api/v1/zombies.py:327-363
POST,/api/v1/zombies/execute/{request_id},app.modules.optimization.api.v1.zombies,execute_remediation,Cloud Hygiene (Zombies),jwt_db,member,auto_remediation,auto_remediation,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::require_tenant_access|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/optimization/api/v1/zombies.py:421-481
GET,/api/v1/zombies/pending,app.modules.optimization.api.v1.zombies,list_pending_requests,Cloud Hygiene (Zombies),jwt_db,member,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::require_tenant_access|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/optimization/api/v1/zombies.py:275-324
GET,/api/v1/zombies/plan/{request_id},app.modules.optimization.api.v1.zombies,get_remediation_plan,Cloud Hygiene (Zombies),jwt_db,member,gitops_remediation,gitops_remediation,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::require_tenant_access|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/optimization/api/v1/zombies.py:484-514
POST,/api/v1/zombies/policy-preview,app.modules.optimization.api.v1.zombies,preview_remediation_policy_payload,Cloud Hygiene (Zombies),jwt_db,member,policy_preview,policy_preview,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::require_tenant_access|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/optimization/api/v1/zombies.py:389-418
GET,/api/v1/zombies/policy-preview/{request_id},app.modules.optimization.api.v1.zombies,preview_remediation_policy,Cloud Hygiene (Zombies),jwt_db,member,policy_preview,policy_preview,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::require_tenant_access|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/optimization/api/v1/zombies.py:366-386
POST,/api/v1/zombies/request,app.modules.optimization.api.v1.zombies,create_remediation_request,Cloud Hygiene (Zombies),jwt_db,member,auto_remediation,auto_remediation,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::require_tenant_access|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/optimization/api/v1/zombies.py:243-272
GET,/health,app.shared.core.app_routes,health_check,Lifecycle,public,public,,,,free|starter|growth|pro|enterprise,,,,,app.shared.db.session::get_system_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/shared/core/app_routes.py:34-51
GET,/health/live,app.shared.core.app_routes,liveness_check,Lifecycle,public,public,,,,free|starter|growth|pro|enterprise,,,,,,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/shared/core/app_routes.py:29-32
